title,secondary_title,date,type,region,author,edition
בראשית רבה,,אמוראי,parallel,ארץ ישראל,,"מהדורת י' תיאודור וח' אלבק2, א-ג, ירושלים תשכ""ה"
מדרש תהלים,,בתר אמוראי,parallel,ארץ ישראל,,"מהדורת ש' בובר, וילנה תרנ""א"
מדרש תנאים,,תנאי,parallel,ארץ ישראל,,"מהדורת ד""צ הופמן, א-ב, ברלין תרס""ח-תרס""ט"
מכילתא דר' ישמעאל,,תנאי,parallel,ארץ ישראל,,"מהדורת ח""ש הורוביץ וי""א רבין, פרנקפורט תרצ""א"
"מכילתא דרשב""י",מכילתא דר' שמעון בן יוחאי,תנאי,parallel,ארץ ישראל,,"מהדורת י""ן אפשטיין וע""צ מלמד2, ירושלים תשל""ט"
מסכת עבדים,,בתר אמוראי,parallel,ארץ ישראל,,"בתוך שבע מסכתות קטנות, מהדורת מ' היגר, ניו יורק תר""ץ"
מסכת סופרים,,בתר אמוראי,parallel,ארץ ישראל,,"מהדורת מ' היגר, ניו יורק תרצ""ז"
משנה,,תנאי,parallel,ארץ ישראל,,"מהדורת ח' אלבק, ירושלים ותל אביב תשי""ט; סדר זרעים עם שינויי נוסחאות, מהדורת יד הרב הרצוג תשל""ב-תשל""ה"
משנת ר' אליעזר,מדרש לב מידות; מדרש אגור,בתר אמוראי,parallel,ארץ ישראל,,"מהדורת ה""ג ענעלאו, ניו יורק תרצ""ד"
סדר עולם,,תנאי,parallel,ארץ ישראל,,"מהדורת ח' מיליקובסקי Seder Olam, “A Rabbinic Chronology”, Ph. D. diss., Yale University, 1981"
ספרא,תורת כהנים,תנאי,parallel,ארץ ישראל,,"דבורא דנדבה ודבורא דחובה, ספרא דבי רב מהדורת א""א פינקלשטיין, א-ד, ניו יורק תשמ""ג-תש""ן; פרשות צו-בחוקותי, מהדורת א""ה וייס, וינה תרכ""ב"
ספרי במדבר,,תנאי,parallel,ארץ ישראל,,"מהדורת ח""ש הורוביץ, לייפציג תרע""ז (ומהדורת מ""י כהנא, ירושלים תשע""א)"
ספרי דברים,,תנאי,parallel,ארץ ישראל,,"מהדורת א""א פינקלשטיין2, ניו יורק תשכ""ט"
ספרי זוטא,,תנאי,parallel,ארץ ישראל,,"מהדורת ח""ש הורוביץ, לייפציג תרע""ז"
פסיקתא דרב כהנא,,אמוראי,parallel,ארץ ישראל,,"מהדורת ד' מנדלבוים, א-ב, ניו יורק תשכ""ב"
פסיקתא רבתי,,בתר אמוראי,parallel,ארץ ישראל,,"מהדורת מ' איש-שלום, וינה תר""ם"
קהלת רבה,,בתר אמוראי,parallel,ארץ ישראל,,דפוס וילנה
רות רבה,,בתר אמוראי,parallel,ארץ ישראל,,"מהדורת מ""ב לרנר, ""אגדת רות ומדרש רות רבה"", עבודת דוקטור, האוניברסיטה העברית, תשל""א"
שמות רבה,,בתר אמוראי,parallel,ארץ ישראל,,"מדרש שמות רבה פרשות א-יד, מהדורת א' שנאן, ירושלים ותל-אביב תשמ""ד; השאר: דפוס וילנה"
תוספתא,,תנאי,parallel,ארץ ישראל,,"סדרים זרעים ונשים ומסכת נזיקין, מהדורת ש' ליברמן, ניו יורק תשט""ו-תשמ""ח; ממסכת סנהדרין ואילך: מהדורת מ""ש צוקרמנדל3, ירושלים תש""ל"
תלמוד בבלי,,אמוראי,parallel,בבל,,"דפוס וילנה; תקליטור מאגר עדי הנוסח של התלמוד הבבלי, תשס""ב; תקליטור מאגרים, תשס""א; מסכתות יבמות, כתובות, סוטה, נדרים, גיטין: מהדורת יד הרב הרצוג"
תלמוד ירושלמי,,אמוראי,parallel,ארץ ישראל,,
תנחומא הנדפס,,בתר אמוראי,parallel,ארץ ישראל,,"ירושלים תשכ""ט"
תנחומא בובר,,בתר אמוראי,parallel,ארץ ישראל,,"מהדורת ש' בובר, וילנה תרמ""ה"
ילקוט שמעוני,,1225,yalkut,אשכנז,שמעון הדרשן,"מהדורת ד' הימן וי' שילוני, ירושלים תשל""ג-תשנ""ט. רמזים: ד' הימן, מקורות ילקוט שמעוני, ירושלים תשכ""ה-תשל""ד"
ילקוט המכירי,,1350,yalkut,ספרד(?),מכיר בן אבא מרי,"ישעיה: מהדורת י""ז כהנא שפירא, ברלין תרנ""ג; תרי-עשר: מהדורת א' גראינוף, לונדון 1913"
"ילקוט התורה, כ""י ששון 988",,,yalkut,,,"David S., Sassoon, Ohel Dawid, Descriptive Catalogue of the Hebrew and Samaritan Manuscripts in the Sassoon Library, London 1932"
הקונטרס האחרון,,1225,yalkut,אשכנז,שמעון הדרשן,"ל' גינצבורג, שרידי הירושלמי, ניו יורק תרס""ט, עמ' 343-309; ילקוט שמעוני, תורה, מהדורת ד' הימן וי' שילוני, ירושלים תשנ""ב"
ילקוט תלמוד תורה,,1350,yalkut,סיציליה,יעקב הסיקילי,"בראשית: כ""י ששון 783 (וכן כ""י JTS RAB 183); ויקרא: כ""י מוסקבה, גינצבורג 512; במדבר: כ""י אוקספורד 2638; דברים: כ""י אוקספורד 2638"
ליקוטי ירושלמי,,,yalkut,,,"יעקב זוסמן, גנזי ירושלמי, ירושלים תש""ף"
מדרש הגדול,,1350,yalkut,תימן,דוד אלעדני,"בראשית: מהדורת מ' מרגליות, ירושלים תש""ז; שמות: מהדורת מ' מרגליות, ירושלים תשט""ז; ויקרא: מהדורת ע' שטיינזלץ, ירושלים תשל""ו; במדבר: מהדורת צ""מ רבינוביץ, ירושלים תשכ""ז; דברים: מהדורת ש' פיש, ירושלים תשל""ג"
עין יעקב,,1500,yalkut,"ספרד, יוון",יעקב בן שלמה אבן חביב,"קושטא רע""ז"
אבודרהם,,1350,excerpt,,,
"אגרות הרמב""ן",,1250,excerpt,,,
אגרת החלום,,1250,excerpt,,,
"אור זרוע ח""א",,1215,excerpt,,,
"אור זרוע ח""ב",,1215,excerpt,,,
"אור זרוע ח""ג",,1215,excerpt,,,
בית הבחירה,,1375,excerpt,,,
בעלי הנפש,,1150,excerpt,,,
"הגהות אשר""י",,1325,excerpt,,,
"הגהות הרמ""ך מלוניל",,1200,excerpt,,,
הגהות מיימוניות,,1250,excerpt,,,
הגהות מיימוניות דפוס קושטא,,777,excerpt,,,
המנהיג,,1200,excerpt,,,
העיטור,,1150,excerpt,,,
"השגות הראב""ד",,1150,excerpt,,,
"השגות הרמב""ן על ספר המצוות לרמב""ם",,1250,excerpt,,,
"השגות על הרמב""ם",,1150,excerpt,,,
זכרון יהודה,,1150,excerpt,,,
חזקוני על התורה,,1275,excerpt,,,
"חי' הריטב""א - שבת",,1300,excerpt,,,
"חי' הרשב""א - גיטין",,1275,excerpt,,,
"חי' הרשב""א - יבמות",,1275,excerpt,,,
"חי' הרשב""א - כתובות",,1275,excerpt,,,
"חי' הרשב""א - נידה",,1275,excerpt,,,
"חי' הרשב""א - קידושין",,1275,excerpt,,,
"חי' הרשב""א - שבת",,1275,excerpt,,,
"חי' ר' קרשקש גיטין ח""ב",,1300,excerpt,,,
"חי' ר' קרשקש ח""א",,1300,excerpt,,,
"חידושי הר""ן [המיוחסים לריטב""א] - שבת",,1350,excerpt,,,
"חידושי הר""ן בבא בתרא",,1350,excerpt,,,
"חידושי הריטב""א-גיטין",,1300,excerpt,,,
"חידושי הריטב""א-יבמות",,1300,excerpt,,,
"חידושי הריטב""א-כתובות",,1300,excerpt,,,
"חידושי הריטב""א-מו""ק",,1300,excerpt,,,
"חידושי הריטב""א-נידה",,1300,excerpt,,,
"חידושי הריטב""א-קידושין",,1300,excerpt,,,
"חידושי הריטב""א - בבא בתרא",,1300,excerpt,,,
"חידושי הריטב""א - יבמות ח""ב",,1300,excerpt,,,
"חידושי הרמב""ן",,1250,excerpt,,,
"חידושי הרמב""ן - בבא בתרא",,1250,excerpt,,,
"חידושי הרמב""ן - יבמות",,1250,excerpt,,,
"חידושי הרמב""ן - כתובות",,1250,excerpt,,,
"חידושי הרמב""ן - שבת",,1250,excerpt,,,
"חידושי הרשב""א - בבא בתרא",,1275,excerpt,,,
"חידושי הרשב""ץ - ראש השנה",,1400,excerpt,,,
חידושי ר' קרשקש - כתובות,,1300,excerpt,,,
"חידושי ר""י אלמנדרי",,1250,excerpt,,,
חמשה ספרים,,1025,excerpt,,,
"טור אבה""ע",,1300,excerpt,,,
יחוסי תנאים ואמוראים,,1250,excerpt,,,
יכין ובועז ח''א,,1425,excerpt,,,
ילקוט המכירי,,1350,excerpt,,,
ים של שלמה - גיטין,,1550,excerpt,,,
ים של שלמה - יבמות,,1550,excerpt,,,
ים של שלמה - כתובות,,1550,excerpt,,,
ים של שלמה - קידושין,,1550,excerpt,,,
כללי המילה לר' יעקב הגוזר,,1250,excerpt,,,
כסף משנה,,1500,excerpt,,,
כפתור ופרח,,1325,excerpt,,,
כתוב שם,,1150,excerpt,,,
כתר תורה,,1400,excerpt,,,
לקט יושר,,1475,excerpt,,,
מאה שערים,,1150,excerpt,,,
מגדל עוז - משפטים,,1300,excerpt,,,
מגדל עוז - נזיקין,,1300,excerpt,,,
מגדל עוז - נשים,,1300,excerpt,,,
מגדל עוז - קדושה,,1300,excerpt,,,
"מגיד משנה על הרמב""ם",,1400,excerpt,,,
"מגן אבות לרשב""ץ",,1400,excerpt,,,
"מהר""י קורקוס",,1400,excerpt,,,
מחזור ויטרי,,1150,excerpt,,,
מלחמות ה' - בבא קמא,,1250,excerpt,,,
מלחמות ה' - יבמות,,1250,excerpt,,,
נימוקי יוסף - יבמות,,1450,excerpt,,,
"נימוקי יוסף ב""ב",,1450,excerpt,,,
נימוקי יוסף גיטין,,1450,excerpt,,,
נימוקי יוסף קידושין,,1450,excerpt,,,
ספר 'עץ חיים',,777,excerpt,,,
ספר האשכול,,1225,excerpt,,,
ספר הבתים,,1375,excerpt,,,
ספר ההשלמה,,1200,excerpt,,,
ספר הזכות,,1250,excerpt,,,
ספר הזכרון,,1300,excerpt,,,
ספר החינוך,,1250,excerpt,,,
ספר הישר,,1150,excerpt,,,
"ספר הישר חלק השו""ת תשוב' ר""ת",,1150,excerpt,,,
ספר המאור,,1150,excerpt,,,
"ספר המאורות - מס' מו""ק",,1225,excerpt,,,
ספר המכריע,,1200,excerpt,,,
ספר המפתח,,1050,excerpt,,,
ספר השטרות,,1100,excerpt,,,
ספר התרומה,,1200,excerpt,,,
ספר התרומות,,1250,excerpt,,,
ספר מעלות המדות,,1250,excerpt,,,
ספר מצוות גדול,,1225,excerpt,,,
ספר ערוך השלם,,1050,excerpt,,,
ספר תולדות אדם וחוה,,1325,excerpt,,,
"על הרי""ף גיטין",,?,excerpt,,,
"על הרי""ף כתובות",,?,excerpt,,,
"על הרי""ף קידושין",,?,excerpt,,,
"עליות דר' יונה - מס' ב""ב",,1250,excerpt,,,
"פ' התפילות לר""י בר יקר",,1200,excerpt,,,
"פי' דברי הימים - מיוחס לאחד מתלמידי רס""ג",,,excerpt,,,
"פי' הרדב""ז על הרמב""ם",,1525,excerpt,,,
פי' נביאים ראשונים,,,excerpt,,,
פי' ר' יצחק קרקושא - בבא בתרא,,1275,excerpt,,,
"פירוש המשניות לרמב""ם",,1175,excerpt,,,
פירוש הרוקח לתורה,,1200,excerpt,,,
פירוש לספרא,,?,excerpt,,,
פירוש לתורה,,?,excerpt,,,
פירוש רבינו חננאל,,1025,excerpt,,,
"פס' וכת' לר""י אשכנזי",,1425,excerpt,,,
"פסקי (נמוקי) תלמיד הרשב""א - בבא מציעא",,1300,excerpt,,,
"פסקי הרא""ש",,1300,excerpt,,,
"פסקי הרי""ד - יבמות",,1200,excerpt,,,
"פסקי הרי""ד - כתובות",,1200,excerpt,,,
פסקי מרדכי,,1275,excerpt,,,
"פסקי ריא""ז - יבמות כתובות",,1225,excerpt,,,
"פסקי ריקאנאטי חדשים מכת""י",,1275,excerpt,,,
"פסקי תוספות לש""ס",,,excerpt,,,
צרור הכסף,,1275,excerpt,,,
"ר""י אלמאדרי",,1250,excerpt,,,
"ראמ""ה",,1300,excerpt,,,
רוקח,,1200,excerpt,,,
"רי""ף גיטין",,1050,excerpt,,,
"רי""ף יבמות",,1050,excerpt,,,
"רי""ף מועד קטן",,1050,excerpt,,,
"ריטב""א ברכות",,1300,excerpt,,,
"ריטב""א גיטין ח""ב",,1300,excerpt,,,
שבלי הלקט השלם,,1225,excerpt,,,
"שבלי הלקט ח""ב",,1225,excerpt,,,
"שו""ת או""ז ומהר""ם בר ברוך",,1275,excerpt,,,
"שו""ת הר""ן",,1350,excerpt,,,
"שו""ת הרדב""ז חלק ז'",,1525,excerpt,,,
"שו""ת הרי""ף (ליוורנו)",,1050,excerpt,,,
"שו""ת הריב""ש",,1350,excerpt,,,
"שו""ת הריב""ש החדשות",,1375,excerpt,,,
"שו""ת הריטב""א",,1300,excerpt,,,
"שו""ת הרשב""א ח""א",,1275,excerpt,,,
"שו""ת הרשב""א ח""ב",,1275,excerpt,,,
"שו""ת הרשב""א ח""ג",,1275,excerpt,,,
"שו""ת הרשב""א ח""ד",,1275,excerpt,,,
"שו""ת הרשב""א ח""ו",,1275,excerpt,,,
"שו""ת הרשב""א ח""ו (ורשא)",,1275,excerpt,,,
"שו""ת הרשב""ש",,1450,excerpt,,,
"שו""ת הרשבא - המיוחסות לרמב""ן",,1275,excerpt,,,
"שו""ת ופסקי מהרי""ק",,1550,excerpt,,,
"שו""ת מהר""ח אור זרוע",,1300,excerpt,,,
"שו""ת מהר""י בירב",,1500,excerpt,,,
"שו""ת מהר""י בן לב",,1550,excerpt,,,
"שו""ת מהר""י ברונא",,1450,excerpt,,,
"שו""ת מהר""י ווייל",,1425,excerpt,,,
"שו""ת מהר""י מטראני",,1600,excerpt,,,
"שו""ת מהר""י מינץ",,1450,excerpt,,,
"שו""ת מהר""י קארו",,777,excerpt,,,
"שו""ת מהר""י קולון",,1450,excerpt,,,
"שו""ת מהר""ם מרוטנבורג",,1275,excerpt,,,
"שו""ת מהרי""ל",,1400,excerpt,,,
"שו""ת מהרי""ל החדשות",,1400,excerpt,,,
"שו""ת מהרלב""ח",,1500,excerpt,,,
"שו""ת מהרש""ל",,1550,excerpt,,,
"שו""ת ריב""ע מלאטאש",,777,excerpt,,,
"שו""ת רמ""ע מפאנו",,1600,excerpt,,,
"שו""ת תשב""ץ ח""א",,1400,excerpt,,,
"שו""ת תשב""ץ ח""ב",,1400,excerpt,,,
"שו""ת תשב""ץ ח""ג",,1400,excerpt,,,
"שו""ת תשב""ץ ח""ד=חוט המשולש",,1400,excerpt,,,
שיטה לא נודע למי - מס' קידושין,,?,excerpt,,,
שיטה מקובצת-כתובות,,1550,excerpt,,,
שיטה על מועד קטן,,?,excerpt,,,
תוס' ר' יהודה החסיד לברכות,,1175,excerpt,,,
תוס' שאנץ סוטה,,1200,excerpt,,,
תוספות - בכורות,,1200,excerpt,,,
תוספות - גיטין,,1200,excerpt,,,
תוספות - חולין,,1200,excerpt,,,
תוספות - יבמות,,1200,excerpt,,,
תוספות - מנחות,,1200,excerpt,,,
תוספות - נידה,,1200,excerpt,,,
תוספות - סוטה,,1200,excerpt,,,
תוספות - ערכין,,1200,excerpt,,,
תוספות - קידושין,,1200,excerpt,,,
תוספות איוורא - סוטה,,1250,excerpt,,,
תוספות אלפסי - גיטין,,1250,excerpt,,,
תוספות אלפסי - יבמות,,1250,excerpt,,,
תוספות אלפסי - כתובות,,1250,excerpt,,,
"תוספות הרא""ש",,1300,excerpt,,,
תוספות ישנים - יבמות,,?1300?,excerpt,,,
תוספות ישנים (השלם) - יבמות,,?1300?,excerpt,,,
"תוספות לש""ס - סדר מועד",,1200,excerpt,,,
"תוספות מהר""ם (מרוטנברג) ורבינו פרץ - יבמות",,12500,excerpt,,,
"תוספות ר""ש משאנץ - כתובות",,1225,excerpt,,,
"תוספות רבינו שמואל ב""ר יצחק - קידושין",,?1300?,excerpt,,,
תורת האדם,,1250,excerpt,,,
תמים דעים,,1150,excerpt,,,
"תרומת הדשן (ח""א)",,1425,excerpt,,,
תשו ר' יוחנן טריוויש,,1525,excerpt,,,
"תשובות הרי""ד",,1200,excerpt,,,
"תשובות הרמב""ן",,1250,excerpt,,,
תשובות ופסקים לחכמי אשכנז וצרפת (מהד' א' קופפר),,1200,excerpt,,,
"תשובות ופסקים לר""י הזקן",,1200,excerpt,,,
"תשובות חדשות להרשב""א (מכת""י)",,1275,excerpt,,,
"תשובות מהר""ם מינץ",,1275,excerpt,,,
תשובות מיימוניות,,1275,excerpt,,,
"תשובות ר""י אבן מיגאש",,1100,excerpt,,,
"תשובות, פסקים ומנהגים",,,excerpt,,,
