char_pos,word_pos,file_line,origin,word_after,word_before,line,mikta,halacha,chapter,masechet_he,amud,daf
1,1,2724,ליידן,"""בראשונה",,01,1,001,004,שביעית,א,לה
215,44,2744,ליידן,מודע,מאן,13,1,002,004,שביעית,ב,לה
73,16,2775,ליידן,אינן,הפגין,04,2,007,004,שביעית,ג,לה
1,1,2794,ליידן,"""בנות",,01,1,001,005,שביעית,ד,לה
52,12,2811,ליידן,נותן,שנים,06,1,003,005,שביעית,א,לו
1,1,2834,ליידן,כת',,01,1,001,006,שביעית,ב,לו
38,8,2847,ליידן,אמ',נקייה,15,1,001,006,שביעית,ג,לו
65,14,2868,ליידן,אני,ליה,35,1,001,006,שביעית,ד,לו
156,30,2891,ליידן,לון,אמ',07,2,003,006,שביעית,א,לז
1,1,2903,ליידן,צבעין,,01,1,001,007,שביעית,ב,לז
47,11,2926,ליידן,בשמן,הפסח,07,1,002,007,שביעית,ג,לז
1,1,2948,ליידן,"""כלל",,01,1,001,008,שביעית,ד,לז
171,36,2957,ליידן,נן,כי,03,2,001,008,שביעית,א,לח
212,44,2983,ליידן,לבייר,הוא,01,1,005,008,שביעית,ב,לח
71,14,3008,ליידן,אסיר,לית,02,2,011,008,שביעית,ג,לח
51,12,3018,ליידן,מילייא,תרתין,04,2,001,009,שביעית,ד,לח
115,26,3042,ליידן,מה,הבית,01,1,004,009,שביעית,א,לט
1,1,3067,ליידן,"""השביעית",,01,1,001,010,שביעית,ב,לט
225,46,3078,ליידן,אמ',עקיבה,02,1,002,010,שביעית,ג,לט
49,10,3101,ליידן,היך,פרוזבול,03,1,004,010,שביעית,ד,לט
1,1,3127,ליידן,"""חמשה",,01,1,001,001,תרומות,א,מ
119,23,3135,ליידן,קידושין,קידושיהן,02,2,001,001,תרומות,ב,מ
25,6,3168,ליידן,ומיניה,מיניה,03,6,001,001,תרומות,ג,מ
19,4,3201,ליידן,דר',פליגא,16,1,003,001,תרומות,ד,מ
37,8,3232,ליידן,מקולי,דברים,08,1,008,001,תרומות,א,מא
1,1,3246,ליידן,"""אין",,01,1,001,002,תרומות,ב,מא
1,1,3275,ליידן,הל',,01,1,002,002,תרומות,ג,מא
91,21,3309,ליידן,ואם,זה,02,1,004,002,תרומות,ד,מא
1,1,3331,ליידן,"""התורם",,01,1,001,003,תרומות,א,מב
83,15,3357,ליידן,שהילכו,מכיון,08,2,004,003,תרומות,ב,מב
1,1,3388,ליידן,"""המפריש",,01,1,001,004,תרומות,ג,מב
122,23,3399,ליידן,הפריש,ואחד,12,1,001,004,תרומות,ד,מב
16,4,3434,ליידן,מוסיף,או',02,1,007,004,תרומות,א,מג
67,12,3462,ליידן,שתי,נמצאו,06,1,012,004,תרומות,ב,מג
81,16,3472,ליידן,כל,שאר,02.1,1,001,005,תרומות,ג,מג
74,17,3505,ליידן,לון,מסלקין,05,1,004,005,תרומות,ד,מג
1,1,3529,ליידן,"""האוכל",,01,1,001,006,תרומות,א,מד
143,30,3549,ליידן,''הפריש,מתני',07,3,001,006,תרומות,ב,מד
1,1,3568,ליידן,"""האוכל",,01,1,001,007,תרומות,ג,מד
102,22,3590,ליידן,ר',חזר,22,1,001,007,תרומות,ד,מד
16,4,3618,ליידן,שלתרומה,אחת,03,3,005,007,תרומות,א,מה
1,1,3627,ליידן,"""האשה",,01,1,001,008,תרומות,ב,מה
42,11,3658,ליידן,אוכל,שפת,09,1,002,008,תרומות,ג,מה
1,1,3686,ליידן,ר',,24,1,004,008,תרומות,ד,מה
13,4,3717,ליידן,שהוא,זמן,02,1,005,008,תרומות,א,מו
4,2,3749,ליידן,הונא,ר',13,2,008,008,תרומות,ב,מו
35,7,3775,ליידן,שמשא,מטמעי,12,1,011,008,תרומות,ג,מו
67,16,3792,ליידן,אותו,ות,04,3,003,009,תרומות,ד,מו
1,1,3815,ליידן,"""בצל",,01,1,001,010,תרומות,א,מז
51,11,3832,ליידן,שלבשר,ואחד,01,1,004,010,תרומות,ב,מז
29,7,3861,ליידן,אתא,אבהתיה,10,1,012,010,תרומות,ג,מז
231,43,3869,ליידן,אסורה,ע'ז,03,2,001,011,תרומות,ד,מז
10,3,3901,ליידן,בשם,ירמיה,03,2,005,011,תרומות,א,מח
9,3,3921,ליידן,ור',יונה,03,1,010,011,תרומות,ב,מח
1,1,3944,ליידן,"""כלל",,01,1,001,001,מעשרות,ג,מח
110,24,3950,ליידן,אם,קיימין,03,2,001,001,מעשרות,ד,מח
6,2,3978,ליידן,הוא,כיצד,02,5,003,001,מעשרות,א,מט
131,28,4003,ליידן,יוסי,ר',01,1,007,001,מעשרות,ב,מט
1,1,4021,ליידן,"""היה",,01,1,001,002,מעשרות,ג,מט
89,18,4036,ליידן,וקטנה,סאה,15,2,001,002,מעשרות,ד,מט
179,39,4062,ליידן,שמו,אלא,04,2,005,002,מעשרות,א,נ
94,20,4091,ליידן,נגמרה,שלא,02,2,008,002,מעשרות,ב,נ
130,23,4099,ליידן,ביתו,לתוך,08,1,001,003,מעשרות,ג,נ
